,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2246,122000,https://restado.de/baustoff/pci-pecimor-f-bitumen-grundierung-10-liter-ungeoeffnet-2-stueck/,Pecimor - Bitumen Grundierung Liter ungeöffnet Stück,Rohbau,Dämmung,2023-01-09,,"PCI Pecimor F - Bitumen Grundierung 10 Liter ungeöffnet (2 Stück)  Verkauft werden 2 Eimer (a 10 Liter) PCI Pecimor F - Bitumen Grundierung 10 Liter. Sind alle ungeöffnet, leider zu viel gekauft. Preisabgabe ist je Eimer und ohne Versandkosten.  Abholung und Versand möglich. Abholung bzw Übergabe Großraum Heilbronn, Neckarsulm, Stuttgart, Nagold.  Alle hier angebotenen Artikel stammen aus meinem Privatbesitz, ich verkaufe sie unter Ausschluss jeglicher Gewährleistung und Garantie und verfolge damit keinerlei gewerbliche Zwecke. Umtausch, Erstattung, Minderung, Rückgabe etc. sind ausgeschlossen. Auch eine Rechnung gibt es nicht. Die Artikelbeschreibung erfolgt ohne Gewähr oder rechtliche Prüfung aber nach reinem Augenschein und bestem Wissen.",Neu,37€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-72202 Nagold,,{},37.0,2.0,37.0,2.0,37€ (VB) / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/1adda2ec-a901c6e8-8d63-4bc8-bae4-4d5fd3efa589-scaled.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2247,121418,https://restado.de/baustoff/isover-klemmfilz-1-035-zwischensparrend-200mm/,Klemmfilz - Zwischensparrend . mm,Rohbau,Dämmung,2023-01-09,1673827200000.0,,,,,,,,,,,,,,,1.0,604800000.0,['https://restado.de/wp-content/uploads/products/2023/03/faa15dca-screenshot_20230225_162512_samsung-internet.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,7.0,
2248,121100,https://restado.de/baustoff/bachl-kellerdeckendaemmung-eps-styropor-wlg-035-120mm/,Bachl Kellerdeckendämmung Styropor wlg mm,Rohbau,Dämmung,2023-01-09,1688256000000.0, ,Neu,30€ (VB) / Paket,20 Paket verfügbar,(1 Paket Mindestabnahme),D-28865 Lilienthal,,{},30.0,20.0,30.0,20.0,30€ (VB) / Paket,20 Paket verfügbar,1.0,15033600000.0,['https://restado.de/wp-content/uploads/products/2023/02/757b30c6-pxl_20230221_172451420-scaled.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,174.0,0.0
2249,120254,https://restado.de/baustoff/knauf-heraklith-a2-bm/,Knauf Heraklith -,Rohbau,Dämmung,2023-01-09,, ,Neu,20€ / Stück,33 Stück verfügbar,(1 Stück Mindestabnahme),D-79235 Vogtsburg,Knauf Heraklith A2 - BM,"{""Dicke (mm)"": ""35 mm"", ""Länge (mm)"": ""2000 mm"", ""Breite (mm)"": ""600 mm""}",20.0,33.0,20.0,33.0,20€ / Stück,33 Stück verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2250,120351,https://restado.de/baustoff/bauder-pir-gefaelledaemmung/,Bauder Gefälledämmung,Rohbau,Dämmung,2023-01-09,,Genaue Maße nach Anfrage - Siehe: https://www.bauder.de/de/unternehmen/aktuelles/details/article/bauderpir-fa-gefaelle-alukaschierte-gefaelledaemmplatten-1.html,Neuwertig,225€ Paketpreis,9 Stück verfügbar,(9 Stück Mindestabnahme),D-09577 Niederwiesa,Bauder,"{""Serie"": ""Pur FA"", ""Dicke (mm)"": ""75 mm"", ""Anwendungsbereich"": ""Flachdach""}",225.0,9.0,225.0,9.0,225€ Paketpreis,9 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/c2faf980-6ff12a15-2ac2-49e1-bb78-84084db64bc3.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2251,118898,https://restado.de/baustoff/steinwolle-4/,Holzfaser,Rohbau,Dämmung,2023-01-09,, ,Neuwertig,60€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-81247 Munich,,{},60.0,1.0,60.0,1.0,60€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/01/6ecc9651-b1d8696e-f03c-475e-ba0b-18f076a49398.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/f807b18b-a1abba71-30e0-414b-813d-312b517595b2.jpeg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2252,118404,https://restado.de/baustoff/daemmstoffkoernung-knauf-perlite-isoself-fuer-nicht-tragende-daemmsch/,Dämmstoffkörnung Perlite Isoself für nicht tragende Dämms…,Rohbau,Dämmung,2023-01-09,, ,Neu,9€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-65817 Eppstein,,{},9.0,6.0,9.0,6.0,9€ (VB) / Stück,6 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/01/5fbd28e7-threema-20230106-173334680.jpg', 'https://restado.de/wp-content/uploads/products/2023/01/4bc61b6d-threema-20230106-173328723.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2253,111725,https://restado.de/baustoff/akurit-mi-di-042-mineraldaemmplatte-60cm-x-38cm-x-10cm/,Mineraldämmplatte cm x cm x cm,Rohbau,Dämmung,2023-01-09,,"Die Dämmplatten werden zusammen mit dem benötigten Spachtel und Klebemörtel (AKURIT SK-MI) für die Verarbeitung angeboten.  1300 Kg AKURIT SK-MI (65 Sack a 20 Kg) für 2220,00 €.  Der Gesamtpreis für die Dämmplatten UND den Spachtel und Klebemörtel beträgt 5650,00 €",Neu,3.430€ (VB) Paketpreis,98 m² verfügbar,(98 m² Mindestabnahme),D-24863 Börm,AKURIT,"{""Oberfläche"": ""glatt"", ""Serie"": ""AKURIT MI-DI 042 Mineraldämmplatte"", ""Dicke (mm)"": ""100 mm"", ""Material"": ""Calciumsilikat"", ""Länge (mm)"": ""380"", ""Breite (mm)"": ""600 mm"", ""Brandverhalten"": ""Nicht brennbar"", ""Kantenausbildung"": ""glatte Kante"", ""Wärmeleitgruppe (WLG)"": ""042"", ""Anwendungsbereich"": ""Innendämmung""}",3430.0,98.0,3430.0,98.0,3.430€ (VB) Paketpreis,98 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/08/dce586df-akurit-innendaemmung.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2254,111476,https://restado.de/baustoff/glasschaumschotter/,Glasschaumschotter,Rohbau,Dämmung,2023-01-09,1673654400000.0,,,,,,,,,,,,,,,1.0,432000000.0,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,5.0,
2255,111387,https://restado.de/baustoff/daemmstoff-280mm/,Dämmstoff mm,Rohbau,Dämmung,2023-03-10,, ,Neu,38€ / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-15749 Mittenwalde,Ursa,"{""Dicke (mm)"": ""280"", ""Material"": ""Mineralwolle"", ""Länge (mm)"": ""3000"", ""Breite (mm)"": ""120"", ""Wärmeleitgruppe (WLG)"": ""034""}",38.0,7.0,38.0,7.0,38€ / Stück,7 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/08/172387ee-1.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2256,105949,https://restado.de/baustoff/steico-flex-036-gefachdaemmung/,flex Gefachdämmung,Rohbau,Dämmung,2023-02-18,,"2 Packete, Original verpackt + Reste Gratis dazu  STEICO flex - Bauaufsichtlich zugelassener Wärmedämmstoff aus Holzfaser nach DIN EN 13171, mit laufender Güteüberwachung. Flexible Wärmedämmung in Dach-, Wand- und Deckenkonstruktionen und als Hohlraumdämmung bei Trennwänden, Vorsatzschalen und Installationsebenen. Eigenschaften: Rohdichte ca. 60 kg/m³, Nennwert Wärmeleitfähigkeit 0,036 W/m*K, Brandverhalten nach DIN EN 13501-1: E. Niedrigste verfügbare Wärmeleitfähigkeit bei flexiblen Holzfasermatten. Exzellente Klemmfähigkeit, hervorragende Anpassung an begrenzende Bauteile. Leichte Verarbeitung, besonders hautfreundlich. Klimaregulierend durch hohe Sorptionsfähigkeit, trägt in hohem Maße zu einem baubiologisch hervorragenden Raumklima bei. Besonders diffusionsoffen für den Schutz der Konstruktion. Unterstützt ein baubiologisch einwandfreies Wohnklima. Ökologisch, umweltverträglich und recyclingfähig.",Neu,110€ (VB) Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-68199 Mannheim,,{},110.0,2.0,110.0,2.0,110€ (VB) Paketpreis,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/28e17ac3-c19a5d69-d333-4f17-89a3-9a71ef723854.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2257,104277,https://restado.de/baustoff/isover-kontur-kp1-100mm-kerndaemmung/,Isover Kontur mm Kerndämmung,Rohbau,Dämmung,2023-01-09,, ,Neu,979€ (VB) Paketpreis,89 m² verfügbar,(89 m² Mindestabnahme),D-27386 Bothel,Isover,"{""Serie"": ""Kontur KP1"", ""Dicke (mm)"": ""100 mm"", ""Material"": ""Mineralwolle"", ""Wärmeleitgruppe (WLG)"": ""035""}",979.0,89.0,979.0,89.0,979€ (VB) Paketpreis,89 m² verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2258,104272,https://restado.de/baustoff/isover-kontur-kp1-80mm-kerndaemmung/,Isover Kontur mm Kerndämmung,Rohbau,Dämmung,2023-01-09,, ,Neu,756€ (VB) Paketpreis,84 m² verfügbar,(84 m² Mindestabnahme),D-27386 Bothel,Isover,"{""Serie"": ""Kontur KP1"", ""Dicke (mm)"": ""80 mm"", ""Material"": ""Mineralwolle"", ""Wärmeleitgruppe (WLG)"": ""035""}",756.0,84.0,756.0,84.0,756€ (VB) Paketpreis,84 m² verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2259,97891,https://restado.de/baustoff/paroc-cgl-20cyc/,Paroc cyc,Rohbau,Dämmung,2023-01-09,, ,Neu,160€ / Palette,1 Palette verfügbar,(1 Palette Mindestabnahme),D-64380 Roßdorf,Paroc,"{""Serie"": ""CGL 20cyc"", ""Dicke (mm)"": ""100 mm"", ""Material"": ""Mineralwolle"", ""Länge (mm)"": ""1200mm"", ""Breite (mm)"": ""200mm"", ""Brandverhalten"": ""Schwer entflammbar"", ""Anwendungsbereich"": ""Kellerdecke""}",160.0,1.0,160.0,1.0,160€ / Palette,1 Palette verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/387571e9-20220424_193934.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2262,92269,https://restado.de/baustoff/zerotherm-kellerdeckendaemmplatte-bgb/,Zerotherm Kellerdeckendämmplatte,Rohbau,Dämmung,2023-01-09,,"Steinwolle Dämmplatten 80 mm dick. Dämmwert 0,034. Die Paletten sind nicht mit im Preis inbegriffen.",Neu,207€ (VB) Paketpreis,23 m² verfügbar,(23 m² Mindestabnahme),D-33102 Paderborn,,{},207.0,23.0,207.0,23.0,207€ (VB) Paketpreis,23 m² verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/03/d9affdbc-ae69e8ae-c38a-4697-9819-81118aff117d-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2022/03/1dac6cf4-4c6d94b6-def1-4582-95de-084341c346f2-scaled.jpeg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2263,91142,https://restado.de/baustoff/hyperlite-kd-daemmstoffschuettung/,Hyperlite Dämmstoffschüttung,Rohbau,Dämmung,2023-01-09,,"Hyperlite KD Dämmstoffschüttung, Körnung 0-6mm, Baustoffklasse A-1, Wärmeleitfähigkeit 0,050 W/(m*K)",Neuwertig,1€ / Liter,150 Liter verfügbar,(50 Liter Mindestabnahme),D-23966 Wismar,,{},1.0,150.0,1.0,150.0,1€ / Liter,150 Liter verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2264,90916,https://restado.de/baustoff/schilfdaemmung-2-cm/,Schilfdämmung cm,Rohbau,Dämmung,2023-01-09,,"Schilfdämmung 2,00x1,25 m  Anwendung als Dämmung für Innen und Außen. Lieferung gern möglich. Frachtkosten auf Anfrage",Neu,30€ / Stück,120 Stück verfügbar,(1 Stück Mindestabnahme),D-96182 Reckendorf,,{},30.0,120.0,30.0,120.0,30€ / Stück,120 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/02/7731a940-img_20220120_112441-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/ff541e95-img_20220120_112337-scaled.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2265,89893,https://restado.de/baustoff/sterudurplatten-daemmung/,Sterudurplatten dämmung,Rohbau,Dämmung,2023-08-19,, ,Neuwertig,80€ (VB) / Paket,15 Paket verfügbar,(1 Paket Mindestabnahme),D-14641 Wustermark,,{},80.0,15.0,80.0,15.0,80€ (VB) / Paket,15 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/01/81e9958f-20220118_150506-scaled.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2266,88733,https://restado.de/baustoff/rockwool-3/,Rockwool,Rohbau,Dämmung,2023-01-09,,"Rockwool Steinwolle Sonorock 1.000 x 625 x 40 mm, Wärmeleitgruppe: 040  Rockwool Steinwolle Sonorock (1.000 x 625 x 40 mm) Nichtbrennbar, Euroklasse A1 Standfest zwischen der Ständerkonstruktion Diffusionsoffen Wärme- und schalldämmend",Neu,1€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-64665 Alsbach-Hähnlein,,{},1.0,10.0,1.0,10.0,1€ (VB) / Stück,10 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/01/bb68a701-12.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2267,88741,https://restado.de/baustoff/remmers-entkopplungsmatter-4mm-18-stueck/,Remmers Entkopplungsmatter mm Stück,Rohbau,Dämmung,2023-01-09,,"Entkopplunsmatten von Remmers, 3 Pakete a 6 Stück a 0,72qm = ca 13qm. 80eu für alle Platten.  Aktueller Preis bei Bauchemie24 ca 200eu. (3 Pakete a 67eu)",Neuwertig,72€ Paketpreis,18 Stück verfügbar,(18 Stück Mindestabnahme),D-22143 Hamburg,,{},72.0,18.0,72.0,18.0,72€ Paketpreis,18 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/01/2a2d7aef-dsci1721-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/3a157ee9-dsci1720-scaled.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2268,87124,https://restado.de/baustoff/daemmfilz-klemmrock-und-tegarock-daemmung/,x Tegarock Dämmung,Rohbau,Dämmung,2023-01-09,,Alle Angaben siehe Bilder. Menge: 2x Tegarock,Neu,90€ (VB) Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-65760 Eschborn,,"{""Material"": ""Glaswolle"", ""Brandverhalten"": ""Nicht brennbar"", ""Wärmeleitgruppe (WLG)"": ""035"", ""Anwendungsbereich"": ""Schrägdach""}",90.0,2.0,90.0,2.0,90€ (VB) Paketpreis,2 Stück verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2269,80518,https://restado.de/baustoff/21-bauder-daemmplatten-1200x600mm/,Bauder Dämmplatten xmm,Rohbau,Dämmung,2023-01-09,,"7 Packungen vorhanden a 3 Platten.  Insgesamt 21 Platten.  Sind nach unserer Haus Sanierung übrig geblieben.  Preisvorschlag gerne per PN.  Bauder Dämmplatten mit Stufenfalz PIR FA TE F Dachdämmung  Die Bauder Dämmplatten mit Stufenfalz PIR FA TE werden als Wärmedämmung mit geringer Wärmeleitfähigkeit eingesetzt.  Die Platten sind frei von halogenierten Treibmitteln und HBCD. Eine mögliche Lagerung der Dämmplatten sollte nicht unter direkter Sonneneinstrahlung sowie vor Feuchtigkeit geschützt erfolgen.  Vorteile:  blendarme Oberfläche  leichte und schnelle Verarbeitung  geringe Rohdichte  hohe Druckfestigkeit  für den Einsatz auf dem leichten Industriedach  gute Wärmedämmeigenschaft  großformatige und leichte Dämmplatten  beidseitige Deckschicht aus Aluminium, verschiedene Höhen  1200x600 mm  Höhe 160mm",Neu,60€ (VB) / Paket,7 Paket verfügbar,(1 Paket Mindestabnahme),D-74909 Meckesheim,Bauder,"{""Dicke (mm)"": ""160"", ""Länge (mm)"": ""1200"", ""Breite (mm)"": ""600 mm""}",60.0,7.0,60.0,7.0,60€ (VB) / Paket,7 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/08/5494e2f0-img-20210717-wa0001.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2270,76620,https://restado.de/baustoff/bodendaemmplatten/,Bodendämmplatten,Rohbau,Dämmung,2023-01-09,,Ich habe noch Styropor übrig Bodendämmplatten EPS 035 DEO  15 Pack Brohlburg 1000 x 500 x 30 mm 5 Pack Geissner 1000x500x30 mm 2 Pack Geissner 1000x500x60 mm,Neu,18€ (VB) / Paket,20 Paket verfügbar,(1 Paket Mindestabnahme),D-72144 Dußlingen,,{},18.0,20.0,18.0,20.0,18€ (VB) / Paket,20 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/06/121f831b-20210602_184525-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/06/82d59a7d-20210601_181800-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/06/504c4d85-20210601_181800-scaled.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2271,75948,https://restado.de/baustoff/kork-korkplatten-daemmkork-oekologisch-bauen/,"Kork , Korkplatten , Dämmkork , ökologisch bauen",Rohbau,Dämmung,2023-07-05,,"expandierte Kork-Dämmplatten, geeignet für Schall- und Wärmedämmung, Stärke 40 mm, Plattengröße 1000x500 mm (teilweise auch kleiner), gesamt ca. 560 qm, per qm 14,- Euro Stärke 80 mm, Plattengröße 1000x500 mm (teilweise auch kleiner), gesamt ca. 145 qm, per qm 24,- Euro alles komplett ohne Klebstoffreste!!! bei Komplettübernahme Sonderpreis möglich!!!",Gebraucht,14€ (VB) / m²,560 m² verfügbar,(100 m² Mindestabnahme),D-20095 Hamburg,,{},14.0,560.0,14.0,560.0,14€ (VB) / m²,560 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/05/9aecf286-59.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2272,73860,https://restado.de/baustoff/isover-styrodur-2800c-hartschaumplatten/,Styrodur Hartschaumplatten,Rohbau,Dämmung,2023-01-09,, ,Neu,10€ (VB) / Stück,3 Stück verfügbar,(2 Stück Mindestabnahme),D-85716 Unterschleißheim,,"{""Serie"": ""Styrodur 2800 C stumpf WLG 035"", ""Dicke (mm)"": ""120 mm"", ""Länge (mm)"": ""1250 mm"", ""Breite (mm)"": ""600 mm"", ""Brandverhalten"": ""normal entflammbar"", ""Wärmeleitfähigkeit (W/mK)"": ""0.035"", ""Druckfestigkeit (kPa)"": ""300""}",10.0,3.0,10.0,3.0,10€ (VB) / Stück,3 Stück verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2273,73638,https://restado.de/baustoff/daemmung-3/,Dämmung,Rohbau,Dämmung,2023-01-09,,Dämmplatten   88 Platten eingeschweißt uns trocken. Auf 4 Paletten verteilt. 100x60x16  Sowie 4 Pakete Isover fassadendämmung Beschreibung Siehe Foto.,Neuwertig,200€ (VB) Paketpreis,5 Paket verfügbar,(5 Paket Mindestabnahme),D-57399 Kirchhundem,,{},200.0,5.0,200.0,5.0,200€ (VB) Paketpreis,5 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/04/d5bb0187-889e0314-2fd0-4d05-85b3-01afee0d1ef6-scaled.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2274,71333,https://restado.de/baustoff/korkplatten/,"Kork , Korkplatten , Dämmkork , ökologisch bauen",Rohbau,Dämmung,2023-10-17,,"Stärke 80 mm, Plattengröße 1000x500 mm (teilweise auch kleiner), gesamt ca. 145 qm, per qm 24,- Euro absolut ohne Klebstoffrückstände, Nur Selbstabholung, bei Komplettübernahme Sonderpreis möglich",Gebraucht,24€ (VB) / m²,145 m² verfügbar,(77 m² Mindestabnahme),D-20095 Hamburg,,{},24.0,145.0,24.0,145.0,24€ (VB) / m²,145 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/05/6c1bf237-59-1.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2275,71301,https://restado.de/baustoff/climowool-tw1-daemmung/,Climowool Dämmung,Rohbau,Dämmung,2023-01-09,1674000000000.0,,,,,,,,,,,,,,,1.0,777600000.0,['https://restado.de/wp-content/uploads/products/2021/03/08ae349c-20201011_173129-scaled.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,9.0,
2276,67447,https://restado.de/baustoff/steico-flex-038/,Steico flex,Rohbau,Dämmung,2023-01-09,, ,Neu,25€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-26123 Oldenburg,Steico,"{""Serie"": ""Steico flex038"", ""Dicke (mm)"": ""50 mm"", ""Länge (mm)"": ""1220mm"", ""Breite (mm)"": ""575mm""}",25.0,1.0,25.0,1.0,25€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/01/e36b03a4-img_5729.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2277,59705,https://restado.de/baustoff/baukleber-heck-bk-22x-saecke/,"Baukleber Heck , x Säcke",Rohbau,Dämmung,2023-01-09,,Biete aus meinem Restbestand Heck Baukleber an. Insgesamt habe ich noch 22 Säcke. Alles in sehr gutem Zustand. Keine Feuchtigkeit abbekommen und gekauft zur Verklebung von Wärmedämmplatten Ende 2019.,Neuwertig,8€ (VB) / Stück,22 Stück verfügbar,(1 Stück Mindestabnahme),D-32257 Bünde,,{},8.0,22.0,8.0,22.0,8€ (VB) / Stück,22 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/09/a872b8a4-b21e3428-c6ed-419a-a1f3-f9a0e97be79c-scaled.jpeg.webp'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2278,58201,https://restado.de/baustoff/fermacellplatten-25-mm/,Fermacellplatten mm,Rohbau,Dämmung,2023-01-09,,"Ich verkaufe 16 Fermacellplatten. Die Stärke beträgt 25 mm. Sie sind auf einer Palette gelagert.Maße: 1500x500x25 ohne Dämmung  Ich gebe gratis eine Box (1000 Stück ), originale 19 mm Fermacellschrauben mit dazu.",Neu,11€ (VB) / Stück,16 Stück verfügbar,(1 Stück Mindestabnahme),D-07774 Dornburg-Camburg,,{},11.0,16.0,11.0,16.0,11€ (VB) / Stück,16 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/08/2b2a4331-img-20200827-wa0013.jpg', 'https://restado.de/wp-content/uploads/products/2020/08/915186f1-img-20200827-wa0014.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2279,57890,https://restado.de/baustoff/remmers-power-protect-p25-2-paletten-originalverpackt/,Remmers Power Protect // Paletten originalverpackt,Rohbau,Dämmung,2023-01-09,1674000000000.0,,,,,,,,,,,,,,,1.0,777600000.0,"['https://restado.de/wp-content/uploads/products/2020/08/b47675dc-40145.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/08/a3c7f6e7-powerprotect-1.jpeg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,9.0,
2280,54970,https://restado.de/baustoff/estrich-daemmplatte-isover-akustic-ep3-wlg-040-12mm/,Estrich Dämmplatte Akustic mm,Rohbau,Dämmung,2023-01-09,,"2 Pakete und ein Angebrochenes (4 oder 5 Platten entnommen)  Wärmeleitgruppe 040 Dicke: 12 mm Länge: 1200 mm Breite: 625 mm Paket beinhaltet 12 Platten  pro Paket 20,00 € angebrochenes Paket 6,00 €  zusammen 45€",Neu,40€ (VB) Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-24238 Lammershagen,Isover,"{""Serie"": "" Akustic EP3 WLG 040 12mm"", ""Material"": ""Mineralwolle"", ""Kantenausbildung"": ""glatte Kante""}",40.0,2.0,40.0,2.0,40€ (VB) Paketpreis,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/06/5ee0657e-img_1862-scaled.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
2281,53031,https://restado.de/baustoff/karl-bachl-decken-daemmelemente-eps-035-1000-x-500-x-100-mm-nf-fase/,"Karl Bachl Decken-Dämmelemente x x mm , Fa…",Rohbau,Dämmung,2023-01-09,, ,Neu,1.575€ (VB) Paketpreis,63 Stück verfügbar,(63 Stück Mindestabnahme),D-65239 Hochheim am Main,,{},1575.0,63.0,1575.0,63.0,1.575€ (VB) Paketpreis,63 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/05/bab9f79e-20200411_152355-scaled.jpg.webp'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,0.0
