,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
13,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267327/udhusdoer-mkarm,Udhusdør m/karm,267327,"['/dyn/resources/Shop_Model_Product/image/7/267327/1692365672/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350295/1692365658/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350292/1692365657/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/350291/1692365654/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350294/1692365658/old2columns/267327.jpg']",95.0,cm,205.5,cm,9.5,cm,16.0,650.0,2023-04-26,2023-10-15,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",172.0,1.0
455,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267078/sprossedoer-med-karm,Sprossedør med karm,267078,"['/dyn/resources/Shop_Model_Product/image/8/267078/1690274780/old2columns/267078.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/349423/1690274784/old2columns/267078.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349424/1690274785/old2columns/267078.jpg']",78.0,cm,211.0,cm,9.5,cm,1.0,6500.0,2023-03-02,2023-08-16,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Handrails,167.0,1.0
543,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267254/sprossedoer-med-karm,Sprossedør med karm,267254,"['/dyn/resources/Shop_Model_Product/image/4/267254/1691587729/old2columns/267254.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350000/1691587622/old2columns/267254.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/350001/1691587630/old2columns/267254.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350003/1691587635/old2columns/267254.jpg']",89.0,cm,204.0,cm,13.5,cm,1.0,4800.0,2023-03-02,2023-07-27,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Handrails,147.0,1.0
544,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267137/sprossedoer-med-karm,Sprossedør med karm,267137,"['/dyn/resources/Shop_Model_Product/image/7/267137/1690790038/old2columns/indvendig-doer-med-glas-og-karm-267137.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349598/1690789969/old2columns/indvendig-doer-med-glas-og-karm-267137.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349599/1690789974/old2columns/indvendig-doer-med-glas-og-karm-267137.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/349601/1690789977/old2columns/indvendig-doer-med-glas-og-karm-267137.jpg']",87.0,cm,212.0,cm,11.8,cm,1.0,8500.0,2023-03-02,2023-10-10,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Handrails,222.0,1.0
550,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/266453/sprossedoer-med-karm,Sprossedør med karm,266453,"['/dyn/resources/Shop_Model_Product/image/3/266453/1683791881/old2columns/266453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/346648/1683791887/old2columns/266453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/346649/1683791889/old2columns/266453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/346650/1683791890/old2columns/266453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/346651/1683791892/old2columns/266453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/346652/1683791898/old2columns/266453.jpg']",88.0,cm,206.0,cm,11.0,cm,1.0,8500.0,2023-04-05,2023-08-09,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Handrails,126.0,1.0
554,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/264694/sprossedoer-med-karm,Sprossedør med karm,264694,"['/dyn/resources/Shop_Model_Product/image/4/264694/1671701598/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/339407/1671701180/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/339404/1671701168/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/339406/1671701178/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/339408/1671701181/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/339405/1671701174/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/339409/1671701182/old2columns/fyldningsdoer-med-glas-264694.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/339410/1671701185/old2columns/fyldningsdoer-med-glas-264694.jpg']",89.0,cm,210.0,cm,,,1.0,11000.0,2023-05-03,2023-07-28,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Handrails,86.0,1.0
640,Doors and  Windows,Brugte Døre,Dørpumper,/doere-vinduer/brugte-doere/branddoere/doerpumper/85798/doerfjeder,Dørfjeder,85798,[],,,,,,,2.0,100.0,2023-04-12,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",173.0,1.0
646,Doors and  Windows,Brugte Døre,Dørpumper,/doere-vinduer/brugte-doere/branddoere/doerpumper/78315/dorma-3-23,-,78315,[],,,,,,,1.0,168.0,2023-04-10,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,Other,"Covering, Finish",Other,175.0,1.0
696,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/73276/rukoassa-1520-vh-udadgaaende,Ruko/Assa vh udadgående,73276,[],,,,,,,19.0,400.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Other,214.0,1.0
735,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/254284/smaeklaas-wilka,Smæklås - Wilka,254284,[],,,,,,,1.0,125.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,214.0,1.0
816,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/260257/haengsel-vh-rustfrit,"Hængsel , vh . - rustfrit .",260257,[],,,,,,,2.0,125.0,2023-03-02,2023-06-19,Genbyg,DK,dk,Silt,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Safety cages,109.0,1.0
817,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/260258/haengsel-vh-rustfrit,"Hængsel , vh . - rustfrit",260258,[],,,,,,,1.0,125.0,2023-04-29,2023-05-16,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Safety cages,17.0,1.0
818,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/260260/haengsel-hh-rustfrit,"Hængsel , hh . - rustfrit",260260,[],,,,,,,4.0,125.0,2023-03-25,2023-05-03,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Safety cages,39.0,1.0
863,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/252749/doerfjeder-stor,Dørfjeder - stor,252749,[],,,,,,,1.0,175.0,2023-04-15,2023-06-25,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,71.0,1.0
883,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/83037/skudrigel,Skudrigel,83037,[],,,,,,,1.0,75.0,2023-03-02,2023-07-06,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",126.0,1.0
891,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/77045/doerfjeder-stor,Dørfjeder - stor,77045,[],,,,,,,1.0,125.0,2023-03-02,2023-05-04,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,63.0,1.0
903,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/69010/doerhaspe,Dørhaspe,69010,[],,,,,,,2.0,37.0,2023-03-02,2023-04-01,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Safety cages,30.0,1.0
1273,Doors and  Windows,Brugte Vinduer,Andre vinduer,/doere-vinduer/brugte-vinduer/andre-vinduer/267696/kooeje,Koøje,267696,"['/dyn/resources/Shop_Model_Product/image/6/267696/1695129598/old2columns/267696.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351830/1695129604/old2columns/267696.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351831/1695129606/old2columns/267696.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351832/1695129608/old2columns/267696.jpg']",40.0,cm,,,1.5,cm,1.0,2800.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Other,214.0,1.0
1487,Doors and  Windows,Brugte Vinduer,Værktøj,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/vaerktoej/2651/glarmestersoem,Glarmestersøm,2651,[],,,,,,,,3.0,2023-05-01,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",154.0,1.0
2871,Timber and Floors,Gulve,Brugte Klinker,/trae_og_gulve/gulve/diverse-klinker/264139/sort-flise,Sort flise,264139,[],,,,,,,130.0,10.0,2023-04-16,2023-10-02,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Other,169.0,1.0
3365,Doors and  Windows,Brugte Døre,Indvendige døre,/doere-vinduer/brugte-doere/indvendige-doere/265379/massiv-doer-med-karm,Massiv dør med karm,265379,"['/dyn/resources/Shop_Model_Product/image/9/265379/1675349904/old2columns/265379.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/342123/1675349607/old2columns/265379.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/342122/1675349606/old2columns/265379.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/342120/1675349603/old2columns/265379.jpg']",88.0,cm,209.0,cm,20.0,cm,1.0,2000.0,2023-06-22,2023-07-19,Genbyg,DK,dk,Silt,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Walling units,27.0,1.0
3366,Doors and  Windows,Brugte Døre,Indvendige døre,/doere-vinduer/brugte-doere/indvendige-doere/265381/massiv-doer-med-karm,Massiv dør med karm,265381,"['/dyn/resources/Shop_Model_Product/image/1/265381/1675415045/old2columns/265381.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/342134/1675415049/old2columns/265381.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/342133/1675415049/old2columns/265381.jpg']",89.0,cm,209.0,cm,20.0,cm,1.0,2000.0,2023-06-10,2023-08-07,Genbyg,DK,dk,Silt,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Door, Windows, Gates",Walling units,58.0,1.0
3719,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267927/velfac-dreje-kipvindue,Velfac dreje/-kipvindue,267927,"['/dyn/resources/Shop_Model_Product/image/7/267927/1696511413/old2columns/267927.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352989/1696510812/old2columns/267927.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/352990/1696510827/old2columns/267927.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352992/1696510832/old2columns/267927.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/352993/1696511708/old2columns/velfac-dreje-kipvindue-267927.jpg']",131.0,cm,113.0,cm,12.5,cm,5.0,3800.0,2023-05-29,2023-07-11,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,43.0,1.0
3791,Doors and  Windows,Brugte Vinduer,Andre vinduer,/doere-vinduer/brugte-vinduer/andre-vinduer/266643/4-floejet-skodde-med-karm,-fløjet skodde med karm,266643,"['/dyn/resources/Shop_Model_Product/image/3/266643/1685646490/old2columns/266643.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/347532/1685526401/old2columns/266643.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/347530/1685526392/old2columns/266643.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/347533/1685526403/old2columns/266643.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/347534/1685526404/old2columns/266643.jpg']",122.0,cm,229.0,cm,7.0,cm,7.0,3000.0,2023-05-17,2023-10-30,Genbyg,DK,dk,Pisé,Sedge,Pr_45_31_63_76,"Roof, Slabs, Stairs","Covering, Finish",Treads and landing units,166.0,1.0
